,text,label
10,"the hodographic transformation in transonic flow . the hodographic transformation in transonic flow . the author studies the problem of finding the shape of a symmetrical nozzle with the velocity along the axis (x-axis) specified . the velocity along each streamline is assumed to increase steadily . the singularity at the sonic velocity and to the axis of the nozzle) is first studied in the physical plane by using a power series in . in the hodograph plane, the two characteristics of the hodograph differential equation passing through the sonic point and are lines of branch points . the region between these lines is a region of triple-valuedness for the stream function . outside this region is single-valued . there are also singularities at the sonic point and the point corresponding to the specified condition at the exit of the nozzle . the author then proposes to construct in the hodograph plane by at the exit velocity and (3) a finite sum regular throughout .. sin, where r is the square of the velocity and the are hypergeometric functions . the a's are fixed by the required approximation to the specified velocity distribution along the axis . this solution is single-valued, convergent and represents except a region near the sonic point in the nozzle . for this excluded region, the author inverts the solution to obtain a power series in for 0 . this is shown to be convergent for the region of interest . the type of solution considered by the author gives a nozzle having an infinitely long supersonic part .",cran
11,"nucleic acid metabolism in the lens iii. effect of x-radiation . a previous communication reported an increased in vivo incorporation of p-32 into the albuminoid rna fraction of the rat lens 6 hours after the animal had been exposed to x-radiation (1,500 r) . in the present study, the in vitro uptake of p-32 and c-14-adenine by albuminoid, ribosomal, and soluble rna fractions of normal and x- irradiated rat lenses was measured . the rna fractions were extracted by sodium dodecyl sulfate in 0.9 per cent nacl . the specific rna fractions were also hydrolyzed, chromatographed (on paper), and the activity of the individual nucleotides (as well as the specific rna fractions) was determined . an experiment was also performed in which the capsules were removed (after the 3 hour incubation period) and the activities determined in the nucleic acids extracted from the capsules and in the three rna fractions of the remaining lens matter . the results of these experiments indicate that the incorporation of p-32 and c-14-adenine into albuminoid rna was markedly stimulated 1 hour after 1,500 r whole body radiation . there was no significant effect on ribosomal or soluble fractions . the effect of formaldehyde and heating on x-irradiated albuminoid rna was much less than on the albuminoid rna derived from control animals .",med
12,The Use of Simulation in Studying Information Storage and Retrieval Systems Previous applications of simulation to information storage and retrieval systems (ISRS) have been overly restrictive in their scope and have failed to consider the environment within which such systems operate.. This paper considers the ISRS as a subsystem within a larger system which includes the users and the funders of the retrieval system.. The three components form a closed-loop information feedback system in which user response influences both the funding and operation of the ISRS as it attempts to satisfy user needs within a finite budget allocation.. Reward-cost theory provides the basis for describing user behavior.. An industrial dynamics model has been developed to simulate ISRS/user/funder behavior where a university departmental library is the ISRS component.. The results which such an analysis can produce are discussed..,cisi
13,"Londoner and His Library This report deals with a complementary theme: the public for which the public library service is provided. It does this in two ways - by giving information about the nature of that public, as it is at present made up, and by reporting what people say about public libraries, not only those who are members, but also those who used to belong and those who never have. Its closest relatives in British writing on this subject are, therefore, Mass Observation's now dated Reading in Tottenham (1947) and the Society of Young Publishers' Survey Books in London, 1959. It is more comprehensive in scope and more detailed in its analysis that the Tottenham survey, while it goes in some depth into issues that necessarily played only a small part in Books in London.",cisi
14,"autopathy:follow-up of cases the publication of two papers recently in the acta paedopsychiatrica by d. arn. van krevelen on the subject of ""autistic psychopathy"", has stimulated the author to present 5 cases which appear to conform to his description. the only value of this brief contribution lies in the fact that they have all been followed up for at least 10 years, and this may give some idea of the eventual results in this type of cases.",med
15,"mitral atresia associated with pulmonary venous anomalies . pulmonary venous anomalies were observed in 5 among 29 specimens with mitral atresia . in 4 of these 5 the anomalous pulmonary veins took the form of anomalous pulmonary venous connexion . in the remaining case the pulmonary venous anomaly was represented by cor triatriatum . in 3 (group i), mitral atresia and premature closure of the foramen ovale coexisted . the anomalous pulmonary venous connexions in this group provided collateral routes for the flow of pulmonary venous blood, and can be understood as developing en response to obstruction at the foramen ovale when the mitral valve is atretic . in the remaining 2 (group ii) no such causative factor could be invoked . in one of the latter group total anomalous pulmonary venous connexion coexisted with a common atrium . in the other, cor triatriatum coexisted with a patent foramen ovale . pulmonary venous obstruction occurred in each of the 5 cases .",med
16,"Abstracting Concepts and Methods Graduate library school study of abstracting should be more than a how-to-do-it course. It should include general material on the characteristcs and types of abstracts, the historical development of abstracting publications, the abstract-publishing industry (especially in the United States), and the need for standards in the preparation and evaluation of the product. These topics we call concepts. The text includes a methods section containing instructions for writing various types of abstracts, and for editing and preparing abstracting publications. These detailed instructions are supplemented by examples and exercises in the appendix. There is a brief discussion of indexing of abstract publications. Research on automation has been treated extensively in this work, for we believe that the topic deserves greater emphasis than it has received in the past. Computer use is becoming increasingly important in all aspects of librarianship. Much research effort has been expended on the preparation and evaluation of computer-prepared abstracts and extracts. Students, librarians, and abstractors will benefit from knowing about this research and understanding how computer programs were researched to analyze text, select key sentences, and prepare extracts and abstracts. The benefits of this research are discussed. Abstracting is a key segment of the information industry. Opportunities are available for both full-time professionals and part-time or volunteer workers. Many librarians find such activities pleasant and rewarding, for they know they are contributing to the more effective use of stored information. One chapter is devoted to career opportunities for abstractors.",cisi
17,"Technical Libraries; users and their demands: a classification of user groups and user demands in technical libraries This study of the habits of customers of technical libraries and information departments had three main aims. 1. Determination of user demands: to discover what items of information or documents customers seek, why they seek them and how they obtain them. 2. Classification of user groups and their demands: to test a hypothesis; that it is possible to classify customers into meaningful user groups possessing recognizable common features and characteristic behavior patterns, and to classify group needs. 3. Estimation of the significance of the above for librarians: to measure the demand on librarians and libraries, in terms of expenditure of their time and skill, and use of stock made by different user groups.",cisi
18,"stagnation-point shock-detachment distance for flow around spheres and cylinders in air . stagnation-point shock-detachment distance for flow around spheres and cylinders in air . author discusses the problem of deflection of a cantilevered bar, initially in the shape of a circular arc, subjected to an arbitrarily inclined end load .",cran
19,"on the theory of discharge coefficients for round entrance flowmeters and venturis . on the theory of discharge coefficients for round entrance flowmeters and venturis . a theory of rounded-entrance flowmeters, based on a consideration of the potential and boundary-layer flows in a converging nozzle, is constructed . curves are presented showing the discharge coefficient as a function of diameter reynolds number, with the /total equivalent length tional length-diameter ratio of the contraction section of the asme long-radius nozzle is presented . the theoretical curves of discharge coefficient versus diameter reynolds number are in good agreement with experiment over a range of reynolds number from 1 to 10 . the theory provides a rational framework for correlating and extrapolating experimental results,. it shows the effects of contraction shape and location of pressure taps,. it furnishes values of discharge coefficient for untested designs,. and it suggests precautions to be taken in design, installation, and operation .",cran
20,"a light and electron microscope study of developing respiratory tissue in the rat . 1. light microscopic observations on the development of the rat lung have shown the presence of glandular, canalicular and alveolar stages . 2. these same three stages can be identified by electron microscopy and all may be present in different parts of the lung at one time, e.g. at 40 and 45 mm. c.r. length . 3. in the glandular stage, the lung tissue itself has an immature appearance by light microscopy and by electron microscopy individual cells also are immature in respect of organelles . glycogen is present in immature cells . 4. during the canalicular stage, lung tissue becomes more vascular . 5. throughout all stages of development, the 'duct' or 'air' spaces are always lined by a continuous and complete epithelium, and blood vessels by a complete endothelium . 6. lamellated inclusion bodies are present in epithelial (endodermal) cells at an early stage of development . 7. micropinocytotic vesicles are present in large numbers in both epithelial and endothelial cytoplasm and it is suggested that in the foetus they may indicate absorption of amniotic fluid from alveolar spaces . 8. the mechanism of alveolar distension is discussed and its nature remains uncertain . 9. respiratory tissue of the rat is not fully differentiated at birth and the importance of this fact in human infants is discussed . 10. the adult blood-air barrier, consisting of epithelium, zona diffusa and endothelium, varies in thickness . this project was performed whilst both of us were in receipt of grants from the medical research council of canada, for which gratitude is expressed . our gratitude is also expressed to miss sylvia smith for typing the manuscript .",med
21,"self sustained oscillations of a system with non-linear damping of a particular type . self sustained oscillations of a system with non-linear damping of a particular type . the paper deals with self-sustained oscillations of a dynamic system of single degree of freedom, with linear restoring force and non-linear damping force . the latter is supposed to be a function of velocity representable by a simple /polygonal/ graph, such that the damping is negative at small velocities but becomes positive at velocities above a certain value . on these assumptions, a rigorous solution is presented, including the equations of motion, amplitude, maximum velocity and period . a very simple solution is obtained for the limiting case of vanishingly small damping . an approximate solution by series in powers of damping ratio is worked out which gives a satisfactory accuracy for quite large values of .",cran
22,"1106. the simultaneous use of extracorporal circulation and hypothermia in the surgery of the heart the operative technique of cardiac surgery under conditions of deep hypothermia with simultaneous use of a pump oxygenator and cardiopulmonary bypass is described. in the majority of cases the patients were cooled with water at 2 c. and the perfusion volume was reduced by more than 50% during hypothermia. in others, a gradient of 10 c. between blood and water was maintained and the perfusion volume was reduced by less than 50%. the data presented show that neither technique leads to hypoxic changes in the cerebrum and internal organs, provided the mean arterial pressure is kept between 70 and 90 mm. hg during perfusion. the overall mortality in the authors' 168 cases - most of which had congenital heart disease - was 14.8%. in 53 cases of tetralogy of fallot - most of them cyanotic - the vsd was closed by taking a flap of tissue from the crista supraventricularis. in this group mortality was 24.5%.",med
23,"The Intermediate Lexicon A new step towards international co-operation in scientific and technical information. The agencies specializing in documentation of documentation (i.e., handling the literature on scientific and technical information) are in turn having problems with the growth of information. The number of their centres has been growing during the last few years - often several in a country and all with activities that are often very similar; scanning and abstracting of documents from the same sources, indexing jobs that may differ only in practical details, more or less identical end-products (descriptive bibliographies, abstracting bulletins, indexes, selective distribution programmes, card-indexes, and so on).",cisi
24,"dandy-walker-taggart 'syndrome' (a case report). dandy-walker-taggart 'syndrome' in a 6-month-old girl has been substantiated by a correlation of clinical and pathological features. all 3 exit foramina of the 4th ventricle have failed to open, resulting in severe cystic dilatation of the ventricle and hypoplastic distortion of posterior midline cerebellar structures.",med
25,"User Resistance to Microforms in the Research Library Microforms enjoy only limited acceptance in research libraries, largely because of user resistance. A growing number of published studies indicate that improper production, inadequate bibliographic access, lack of standardization, defects in equipment design, maintenance problems, poor environments for microform usage, and certain inherent characteristics of the microforms themselves all combine to make their use inconvenient. Solutions to most of these problems have existed for some time, but the microform industry has been slow to correct them. Some positive developments have occurred in the last two years, but the major problems remain.",cisi
26,clues in dealing with cancer patients it is clear that the patient with cancer changed his pattern of communication at different stages of the disease. these patterns in communication were the basis or clues for the doctor and paramedical personnel to consider in making total care more effective. the bedside clinician of past days knew these clues instinctively in his wise ministrations. thanks to a gifted social worker these have been now made manifest to help all of us in dealing with cancer and perhaps other chronic relentless diseases.,med
27,"terminal cancer nursed at home perhaps the most difficult part of mrs. brown's illness, was that she herself knew all about it. she had been a nurse for most of her working life, and was only too aware of the deteriorating process of carcinoma. there were times, of course, when she would try to deceive herself, say- ing that there was always hope that something new in the way of treatment would turn up, and life would then be worth living again.",med
28,"antidiuresis induced by saluretics in diabetes insipidus. in hypothalamus-pituitary and less regularly in nephrogenic diabetes insipidus some diuretics cause a fall in diuresis mainly due to reduced excretion of free water. this adh-like action, not correlated with the extent of the natriuretic action or with salt depletion, depends on a direct effect of the drug on water permeability in the distal tubule and is suppressed by cortisone. it is maximal for the thiazide derivatives and diminishes progressively with mercurial compounds, spirolactones and triamterene in that order and is absent for acetazolamide. the reduction in glomerular filtration and increased proximal reabsorption of na following salt depletion induced by the diuretics is of less importance and irregular in appearance.",med
29,"Correlation the Subjects of Books Taken Out Of and Books Used Within an Open-Stack Library The traditional over-the-counter circulation count is not always considered a reliable indicator of total library use.. To test this assumption the author hypothesized that no correlation exists between the subjects of books taken out of the library and those used within the library.. Counts were made of books left on tables, chairs, desks, and other surfaces and correlated to books charged out.. Two studies were made.. In the first, books were counted within finely delineated LC and Dewey class spans relating to academic departments.. In the second, books were counted within the broad LC first and second letters and the Dewey tens.. In the first case, the overall correlation was .86; in the second, with less data, .84.. The author concludes that out-of-library circulation totals can be reliable indicators of in-library use.. For predicting in-library use (and thus total use) two methods are cited-simple ratio of out to in, and the regression equation..",cisi
30,"orbit decay and prediction of the motion of artificial satellites . orbit decay and prediction of the motion of artificial satellites . the rate of decay of elliptic satellite orbits, due to atmospheric drag, is investigated through variation of parameters and through use of an atmospheric model involving a power function between density and altitude . this model is shown to fit actual conditions better than an exponential function . the effects of the equatorial belt and the rotation of the earth are investigated . the conclusion is reached that through these anomalies atmospheric drag substantially affects the orbit elements, especially those defining the orbit plane . an alternate approach of variation of parameters is presented, by which a direct relation between period decay and instantaneous density conditions is established . this approach, by itself specifically adequate for prediction work, also opens an avenue for systematic and unified evaluation of observed decay .",cran
31,"Annual Reviews of Information Science and Technology In spite of concerns expressed in the literature about the health and vigor of the field of information science and of its service-oriented institutions - libraries and information centers - the progress reviews in this volume provide grounds for optimism. Some of the trends that were commented on in Volume 6 have proved to be solid and important. For example, the movement toward rapid interactive access to major public and commercial data bases is not very strong, and it will probably not be many years before satisfying experience with this new mode of information access will help it become not merely an experimental innovation but the standard means of searching and using centrally (or regionally) held data. Three chapters in this volume touch on related aspects of the movement: Bennett's review of the user interface in interactive systems, Gechman's report on machine-readable bibliographic data bases, and Brandhorst and Eckert's review of document retrieval and dissemination systems. This volume also introduces a new Annual Review topic of potentially great importance for future libraries: video cartridges and cassettes. It is widely accepted that libraries and information centers will, in the coming years, shift the balance of their holdings in the direction of some of the newer media, and the chapter by Kletter and Hudson helps to define the potential and problems of some of the promising new media. Other new areas of interest are information system applications in the criminal justice system and information system applications in the humanities. In addition to these topics, this volume covers three of the core areas of information science, which we attempt to review on as close to an annual basis as possible: information needs and uses, document description and representation, and organization of information. This coverage is consistent with a newly developed Annual Review master plan for cyclic but flexible coverage of some 40 major areas of interest in library and information science.",cisi
32,"Substructure Search in the MCC System A monitor system based upon computer-produced printed indexes is described in this paper. The system is intended to monitor a large scale experiment in file organization for a real-time, interactive chemical information system. It is based upon a topological screen system that ensures the inclusion of every compound atom (including H) in at least one screen assignment, that appears to be responsive to a broad range of query types, and that is amenable to random- access techniques. The Monitor system is also considered, in this paper, as an independent interim approach toward fulfilling, in an effective and economic manner, the functional requirements of a small- to medium-sized chemical information system. Thus it could be used to encode and generate structure files, to assign search screens, and to provide manual substructure search capability via microfilm or hard copy printed indexes.",cisi
33,"on the propagation and structure of the blast wave . part 1. on the propagation and structure of the blast wave . part 1. as a continuation of part 1 (j. phys. soc. japan 8 (1953) 662), the second approximation for the propagation and structure of a blast wave is now discussed . the solution for r=1.4 is obtained by a numerical method, using the results of the first approximation obtained in part 1 . by use of this solution, u-r curves, distance-time curves and the changing feature of distributions of velocity, pressure and density behind the shock front are discussed . further, the approximate solution of the equation is discussed by a refinement of the wkb method due to imai .",cran
34,"aerodynamic noise in supersonic wind tunnels . aerodynamic noise in supersonic wind tunnels . hot-wire measurements in the free stream of a supersonic wind tunnel were made in the mach number range of 1.6 to 5.0 . it is shown that the mass-flow fluctuations increase very rapidly with increasing mach number . if the fluctuation field is assumed to consist of sound waves-dash an assumption that is consistent with the measurements-dashthe sound intensity is approximately proportional to m, within the range of the experiments . furthermore, the orientation of the field is found to be different from the mach line direction,. it corresponds to a sound-source velocity of approximately one-half the free-stream velocity for the higher mach numbers . it is shown that the turbulent boundary layer along the nozzle and the tunnel walls is responsible for this sound field .",cran
35,"the isolation and morphology of some new bacteriophages specific for bacillus and acetobacter species . the best natural habitat for bacteriophages is probably a semi-solid medium containing actively dividing host bacteria . such conditions are provided for bacillus and acetobacter species in rotting grass and apples, respectively . the bacillus phages found included one with a large head and a contractile tail, and also a so-called killer particle, which had a 350 a head and a long contractile tail . this particle had the property of killing but not multiplying within a sensitive cell . a new morphological type of virulent bacillus phage was also isolated,. its head was oblong and the tail consisted of a short needle and a plate the one acetobacter phage found resembled coliphage t3 but was of particular interest because of the prominence of the head capsomeres and the three-pronged tail .",med
36,"an analysis of base pressure at supersonic velocities and comparison with experiment . an analysis of base pressure at supersonic velocities and comparison with experiment . in the first part of the investigation an analysis is made of base pressure in an inviscid fluid, both for two-dimensional and axially symmetric flow . it is shown that for two-dimensional flow, and also for the flow over a body of revolution with a cylindrical sting attached to the base, there are an infinite number of possible solutions satisfying all necessary boundary conditions at anh given free-stream mach numger . for the particular case of a body having no sting attached only one solution is possible in an inviscid flow, but it corresponds to zero base drag . accordingly, it is concluded that a strictly inviscid-flow theory cannot be satisfactory for practical applications . an approximate semi-empirical analysis for base pressure in a viscous fluid is developed in a second part of the investigation . the semi-empirical analysis is based partly on inviscid-flow calculations . in this theory an attempt is made to allow for the effects of mach number, reynolds number, profile shape, and type of boundary-layer flow . some measurements of base pressure in two-dimensional and axially symmetric flow are presented for purposes of comparison . experimental results then are presented concerning the support interference effect of a cylindrical sting, and the interference effect of a reflected air wave on measurements of base pressure in a supersonic wind tunnel .",cran
37,"experimental emphysema basis, review, and critique . normal lung structure has been described as a rich capillary bed in a finely partitioned airspace with unique surface-active effects . morphologic criteria of the lesions of human pulmonary emphysema include evidence of destruction, residual vascular remnants, the absence of significant amounts of fibrosis, and altered conducting airways without anatomic obstruction . experimental studies relating to the pathogenesis of emphysema have been reviewed and critically evaluated . stress has been placed on the necessity to control the biologic factors influencing the action of any specific etiologic agent .",med
38,"free-convection magnetohydrodynamic flow past a porous flat plate . free-convection magnetohydrodynamic flow past a porous flat plate . the incompressible flow of an electrically conducting fluid past a porous plate with constant suction velocity in the presence of a transverse uniform strength has recently been investigated by gupta . in this note, the problem is generalized to take into account the effect of free convection, when a body force is acting parallel to the wall . the fluid is assumed to be semi-incompressible as usual . in addition to the obvious practical significance, this problem is also interesting in the sense that it provides another exact solution of the magnetohydrodynamic equations, since the only electromagnetic assumptions involved are constant properties and freedom from excessive charges .",cran
39,"bone growth and metabolic studies of premature infants treated with human growth hormone the influence of exogenous human growth hormone on growth and metabo- lism of premature infants was observed. it was not possible to register any in- crease of linear bone growth after hormone administration; concomitantly urinary hy- droxyproline excretion did not change significantly. nitrogen balance studies indicated a sharp increase of nitrogen retention, due to a reduced urinary excretion, in all infants. calcium and phosphorus balances rose in three out of four premature infants treated with growth hormone, but the characteris- tic sth calciuric action of sth was not observed. furthermore, sth failed to in- duce any significant increase in nefa serum concentration of premature infants. it may therefore be concluded that the metabolic response of premature infants to sth differs consistently from that normally observed in more mature subjects.",med
40,"the transonic flow of a compressible fluid through an axially symmetrical nozzle . the transonic flow of a compressible fluid through an axially symmetrical nozzle . by a method similar to that developed by s. tomotika and k. tamada (quart. appl. math. 7, 381-397 (1950),. these rev. 11, 275) for computing two-dimensional mixed isentropic flows in the sonic region, the flow in the vicinity of the throat of an axially symmetrical nozzle is studied . several exact solutions to von karman's equation for axially symmetrical transonic flows are obtained and the one that gives flows through a converging and diverging nozzle is considered in detail . this solution consists of four branches of which two are rejected because of singularities . of the remaining two branches, one gives pure supersonic flow and the other gives taylor's type of flow with a local supersonic region in the throat . by varying a parameter, the latter branch approaches two asymptotes which yield meyer's type of asymmetrical flows .",cran
41,"The RECON Pilot Project: A Progress Report A synthesis of the progress report submitted by the Library of Congress to the Council on Library Resources under an Officer's Grant to initiate the RECON Pilot Project that gives an overview of the project and the progress made from August-November 1969 in the following areas: training, selection of material to be converted, investigation of input devices, and format recognition..",cisi
42,"the propagation of a nonuniform magnetohydrodynamic shock wave into a moving monatomic fluid . the propagation of a nonuniform magnetohydrodynamic shock wave into a moving monatomic fluid . an initially uniform magnetohydrodynamic shock wave of arbitrary strength propagates through a channel which consists of two portions of which one has uniform cross-sectional area while the other is of varying cross-sectional area . it is assumed that the flow in the nonuniform section in front of the shock is initially a uniform state and no perturbations (due to the area variations) of this flow reach the shock until the area variation is encountered . when the shock enters the nonuniform section, it is perturbed, the shock strength altered and the subsequent flow is nonisentropic . in addition to the perturbation due to the effect of the area variations on the initially uniform upstream flow, there are two further contributions--viz., a permanent perturbation caused directly by the area changes and a transient disturbance--which propagates with true sonic speed with respect to the flow behind the shock, due to reflections of the permanent perturbation at the shock . expressions for these various contributions are obtained . the results presented include as special cases propagation of a nonuniform conventional gas dynamic shock into a moving nonconduction fluid and propagation of a nonuniform hydromagnetic shock wave into a stationary fluid .",cran
43,"a collection of longitudinal stability derivatives of wings at supersonic speeds . a collection of longitudinal stability derivatives of wings at supersonic speeds . a collection has been made of theoretical data, for wings alone, on those stability derivatives that govern the short-period oscillation of aircraft travelling at supersonic speeds . all the derivatives available have been obtained by means of the linear theory, and so the information given is subject to the usual limitations . the information has been presented in what is hoped is the most convenient form to show its extent, and to expose the parts of the field where experimental investigation is most needed .",cran
44,"the dynamic motion of a missile descending through the atmosphere . the dynamic motion of a missile descending through the atmosphere . a method is presented for computing rapidly, yet accurately, the dynamic motion of a ballistic-type missile descending through the atmosphere . the equations of motion are separated into a set of /static/ trajectory equations (zero angle of attack) and a set of /rotational/ equations describing the oscillatory motion of the missile about its center of gravity . a transformation allows the rotational equations to be written in a manner analogous to the equation for an undamped oscillating spring mass system with the mass equal to unity and a time variable spring constant . for given initial conditions this equation can be solved to obtain the envelope of maximum angle of attack . an additional transformation allows the calculation of the complete oscillatory motion at any time during the trajectory as a function of the maximum angle of attack at that time . this solution shows that the maximum angle of attack of a missile descending through the atmosphere at relatively constant speed is reduced even when the aerodynamic damping is neglected .",cran
45,"Program Design for Retrospective Searches on Large Data Bases Retrospective search of large document data bases requires development of special techniques for automatic compression of data and minimization of the number of input-output operations to the computer accessible files.. Also, the computer program should be designed to require a relatively small amount of internal memory.. The present paper contains a description of the structure of a program that meets the above requirements.. The vocabulary of the data base is automatically expressed in terms of 8, 16 and 24 bit codes chosen to point to the natural spelling in a dictionary.. Thus file size is reduced without the necessity for extensive processing for decoding.. Use of a compressed bit string inverted index greatly reduces search time, and a storage management system enables long strings to be processed with use of a limited amount of internal storage.. Creation of ""reduced"" files and tables is an important feature of a program; it allows the files needed only by specific phases of the program to be designed to use a relatively small amount of internal storage and input-output time..",cisi
